Body Regions;A01
Superior Cervical Ganglion;A08.800.050.800.300.850
Splanchnic Nerves;A08.800.050.800.800
Vasomotor System;A08.800.050.800.900
Pressoreceptors;A08.800.050.800.900.700
Ganglia, Sensory;A08.800.350
Ganglia, Spinal;A08.800.350.340
Geniculate Ganglion;A08.800.350.380
Nodose Ganglion;A08.800.350.550
Spiral Ganglion;A08.800.350.800
Trigeminal Ganglion;A08.800.350.850
Nerve Endings;A08.800.550
Neuroeffector Junction;A08.800.550.550
Neuromuscular Junction;A08.800.550.550.550
Motor Endplate;A08.800.550.550.550.500
Peripheral Nerves;A08.800.800
Autonomic Pathways;A08.800.800.060
Autonomic Fibers, Postganglionic;A08.800.800.060.050
Parasympathetic Fibers, Postganglionic;A08.800.800.060.050.700
Sympathetic Fibers, Postganglionic;A08.800.800.060.050.800
Autonomic Fibers, Preganglionic;A08.800.800.060.060
Celiac Plexus;A08.800.800.060.150
Facial Nerve;A08.800.800.060.275
Glossopharyngeal Nerve;A08.800.800.060.337
Hypogastric Plexus;A08.800.800.060.400
Myenteric Plexus;A08.800.800.060.500
Oculomotor Nerve;A08.800.800.060.650
Splanchnic Nerves;A08.800.800.060.800
Submucous Plexus;A08.800.800.060.840
Vagus Nerve;A08.800.800.060.920
Laryngeal Nerves;A08.800.800.060.920.450
Recurrent Laryngeal Nerve;A08.800.800.060.920.450.700
Nodose Ganglion;A08.800.800.060.920.550
Blood-Nerve Barrier;A08.800.800.090
Cranial Nerves;A08.800.800.120
Abducens Nerve;A08.800.800.120.030
Accessory Nerve;A08.800.800.120.060
Facial Nerve;A08.800.800.120.250
Chorda Tympani Nerve;A08.800.800.120.250.120
Geniculate Ganglion;A08.800.800.120.250.280
Glossopharyngeal Nerve;A08.800.800.120.290
Hypoglossal Nerve;A08.800.800.120.330
Oculomotor Nerve;A08.800.800.120.600
Olfactory Nerve;A08.800.800.120.640
Optic Nerve;A08.800.800.120.680
Optic Chiasm;A08.800.800.120.680.600
Optic Disk;A08.800.800.120.680.660
Trigeminal Nerve;A08.800.800.120.760
Mandibular Nerve;A08.800.800.120.760.500
Lingual Nerve;A08.800.800.120.760.500.450
Maxillary Nerve;A08.800.800.120.760.550
Ophthalmic Nerve;A08.800.800.120.760.650
Trigeminal Ganglion;A08.800.800.120.760.825
Trochlear Nerve;A08.800.800.120.800
Vagus Nerve;A08.800.800.120.900
Laryngeal Nerves;A08.800.800.120.900.450
Recurrent Laryngeal Nerve;A08.800.800.120.900.450.700
Nodose Ganglion;A08.800.800.120.900.550
Vestibulocochlear Nerve;A08.800.800.120.910
Cochlear Nerve;A08.800.800.120.910.120
Spiral Ganglion;A08.800.800.120.910.120.800
Vestibular Nerve;A08.800.800.120.910.900
Schwann Cells;A08.800.800.690
Myelin Sheath;A08.800.800.690.500
Neurilemma;A08.800.800.690.500.550
Ranvier's Nodes;A08.800.800.690.500.700
Spinal Nerves;A08.800.800.720
Brachial Plexus;A08.800.800.720.050
Median Nerve;A08.800.800.720.050.500
Musculocutaneous Nerve;A08.800.800.720.050.540
Radial Nerve;A08.800.800.720.050.700
Ulnar Nerve;A08.800.800.720.050.850
Cervical Plexus;A08.800.800.720.150
Phrenic Nerve;A08.800.800.720.150.700
Lumbosacral Plexus;A08.800.800.720.450
Femoral Nerve;A08.800.800.720.450.250
Obturator Nerve;A08.800.800.720.450.600
Pudendal Nerve;A08.800.800.720.450.680
Sciatic Nerve;A08.800.800.720.450.760
Peroneal Nerve;A08.800.800.720.450.760.640
Tibial Nerve;A08.800.800.720.450.760.820
Sural Nerve;A08.800.800.720.450.760.820.820
Spinal Nerve Roots;A08.800.800.720.725
Cauda Equina;A08.800.800.720.725.150
Ganglia, Spinal;A08.800.800.720.725.350
Thoracic Nerves;A08.800.800.720.800
Intercostal Nerves;A08.800.800.720.800.350
Sensory Receptor Cells;A08.800.950
Chemoreceptor Cells;A08.800.950.500
Neuroepithelial Cells;A08.800.950.500.530
Neuroepithelial Bodies;A08.800.950.500.530.550
Olfactory Receptor Neurons;A08.800.950.500.540
Paraganglia, Nonchromaffin;A08.800.950.500.600
Aortic Bodies;A08.800.950.500.600.050
Carotid Body;A08.800.950.500.600.150
Glomus Jugulare;A08.800.950.500.600.350
Glomus Tympanicum;A08.800.950.500.600.360
Taste Buds;A08.800.950.500.800
Mechanoreceptors;A08.800.950.750
Golgi-Mazzoni Corpuscles;A08.800.950.750.300
Merkel Cells;A08.800.950.750.425
Muscle Spindles;A08.800.950.750.500
Neuroepithelial Cells;A08.800.950.750.600
Hair Cells, Auditory;A08.800.950.750.600.350
Hair Cells, Auditory, Inner;A08.800.950.750.600.350.350
Hair Cells, Auditory, Outer;A08.800.950.750.600.350.365
Hair Cells, Vestibular;A08.800.950.750.600.675
Pacinian Corpuscles;A08.800.950.750.700
Pressoreceptors;A08.800.950.750.750
Pulmonary Stretch Receptors;A08.800.950.750.780
Nociceptors;A08.800.950.875
Photoreceptor Cells;A08.800.950.937
Photoreceptor Cells, Invertebrate;A08.800.950.937.650
Photoreceptor Cells, Vertebrate;A08.800.950.937.670
Photoreceptor Connecting Cilium;A08.800.950.937.670.049
Retinal Cone Photoreceptor Cells;A08.800.950.937.670.100
Retinal Photoreceptor Cell Inner Segment;A08.800.950.937.670.237
Retinal Photoreceptor Cell Outer Segment;A08.800.950.937.670.375
Rod Cell Outer Segment;A08.800.950.937.670.375.500
Retinal Rod Photoreceptor Cells;A08.800.950.937.670.650
Rod Cell Outer Segment;A08.800.950.937.670.650.650
Thermoreceptors;A08.800.950.968
Synapses;A08.850
Electrical Synapses;A08.850.180
Neuroeffector Junction;A08.850.550
Neuromuscular Junction;A08.850.550.550
Motor Endplate;A08.850.550.550.500
Presynaptic Terminals;A08.850.700
Mossy Fibers, Hippocampal;A08.850.700.500
Synaptic Membranes;A08.850.800
Post-Synaptic Density;A08.850.800.500
Synaptic Vesicles;A08.850.840
Sense Organs;A09
Ear;A09.246
Ear, External;A09.246.272
Ear Auricle;A09.246.272.197
Ear Canal;A09.246.272.396
Ear Cartilage;A09.246.272.549
Tympanic Membrane;A09.246.272.702
Ear, Inner;A09.246.300
Cochlea;A09.246.300.246
Basilar Membrane;A09.246.300.246.125
Cochlear Aqueduct;A09.246.300.246.280
Cochlear Duct;A09.246.300.246.292
Stria Vascularis;A09.246.300.246.292.876
Tectorial Membrane;A09.246.300.246.292.938
Organ of Corti;A09.246.300.246.577
Hair Cells, Auditory;A09.246.300.246.577.325
Hair Cells, Auditory, Inner;A09.246.300.246.577.325.315
Hair Cells, Auditory, Outer;A09.246.300.246.577.325.380
Labyrinth Supporting Cells;A09.246.300.246.577.543
Round Window, Ear;A09.246.300.246.814
Scala Tympani;A09.246.300.246.848
Scala Vestibuli;A09.246.300.246.874
Spiral Ganglion;A09.246.300.246.900
Spiral Lamina;A09.246.300.246.930
Spiral Ligament of Cochlea;A09.246.300.246.965
Labyrinthine Fluids;A09.246.300.455
Semicircular Canals;A09.246.300.663
Semicircular Ducts;A09.246.300.663.500
Hair Cells, Ampulla;A09.246.300.663.500.500
Vestibule, Labyrinth;A09.246.300.909
Oval Window, Ear;A09.246.300.909.551
Saccule and Utricle;A09.246.300.909.625
Acoustic Maculae;A09.246.300.909.625.125
Hair Cells, Vestibular;A09.246.300.909.625.125.340
Otolithic Membrane;A09.246.300.909.625.125.680
Vestibular Aqueduct;A09.246.300.909.957
Endolymphatic Duct;A09.246.300.909.957.360
Endolymphatic Sac;A09.246.300.909.957.360.701
Ear, Middle;A09.246.397
Ear Ossicles;A09.246.397.247
Incus;A09.246.397.247.362
Malleus;A09.246.397.247.524
Stapes;A09.246.397.247.806
Eustachian Tube;A09.246.397.369
Glomus Tympanicum;A09.246.397.400
Stapedius;A09.246.397.727
Tensor Tympani;A09.246.397.749
Eye;A09.371
Anterior Eye Segment;A09.371.060
Anterior Chamber;A09.371.060.067
Aqueous Humor;A09.371.060.067.070
Endothelium, Corneal;A09.371.060.067.318
Ciliary Body;A09.371.060.160
Conjunctiva;A09.371.060.200
Cornea;A09.371.060.217
Bowman Membrane;A09.371.060.217.113
Corneal Stroma;A09.371.060.217.228
Descemet Membrane;A09.371.060.217.271
Endothelium, Corneal;A09.371.060.217.318
Epithelium, Corneal;A09.371.060.217.325
Limbus Corneae;A09.371.060.217.659
Iris;A09.371.060.450
Pupil;A09.371.060.450.780
Lens, Crystalline;A09.371.060.500
Lens Capsule, Crystalline;A09.371.060.500.155
Posterior Capsule of the Lens;A09.371.060.500.155.500
Lens Cortex, Crystalline;A09.371.060.500.225
Lens Nucleus, Crystalline;A09.371.060.500.670
Trabecular Meshwork;A09.371.060.932
Anterior Capsule of the Lens;A09.371.061
Axial Length, Eye;A09.371.199
Eyelids;A09.371.337
Conjunctiva;A09.371.337.168
Eyelashes;A09.371.337.338
Meibomian Glands;A09.371.337.614
Lacrimal Apparatus;A09.371.463
Nasolacrimal Duct;A09.371.463.640
Pigment Epithelium of Eye;A09.371.670
Retinal Pigment Epithelium;A09.371.670.500
Posterior Eye Segment;A09.371.714
Vitreous Body;A09.371.714.500
Retina;A09.371.729
Blood-Retinal Barrier;A09.371.729.055
Fundus Oculi;A09.371.729.313
Macula Lutea;A09.371.729.522
Fovea Centralis;A09.371.729.522.436
Optic Disk;A09.371.729.690
Retinal Neurons;A09.371.729.831
Amacrine Cells;A09.371.729.831.500
Photoreceptor Cells;A09.371.729.831.625
Photoreceptor Cells, Invertebrate;A09.371.729.831.625.660
Photoreceptor Cells, Vertebrate;A09.371.729.831.625.670
Photoreceptor Connecting Cilium;A09.371.729.831.625.670.049
Retinal Cone Photoreceptor Cells;A09.371.729.831.625.670.100
Retinal Photoreceptor Cell Inner Segment;A09.371.729.831.625.670.237
Retinal Photoreceptor Cell Outer Segment;A09.371.729.831.625.670.375
Rod Cell Outer Segment;A09.371.729.831.625.670.375.500
Retinal Rod Photoreceptor Cells;A09.371.729.831.625.670.650
Rod Cell Outer Segment;A09.371.729.831.625.670.650.650
Retinal Bipolar Cells;A09.371.729.831.750
Retinal Ganglion Cells;A09.371.729.831.875
Retinal Horizontal Cells;A09.371.729.831.937
Retinal Pigment Epithelium;A09.371.729.887
Sclera;A09.371.784
Tenon Capsule;A09.371.839
Uvea;A09.371.894
Blood-Aqueous Barrier;A09.371.894.030
Choroid;A09.371.894.223
Bruch Membrane;A09.371.894.223.250
Ciliary Body;A09.371.894.280
Iris;A09.371.894.513
Pupil;A09.371.894.513.780
Nose;A09.531
Olfactory Mucosa;A09.531.623
Olfactory Receptor Neurons;A09.531.623.580
Vomeronasal Organ;A09.531.940
Taste Buds;A09.846
Tissues;A10
Body Fluid Compartments;A10.082
Extracellular Space;A10.082.500
Intracellular Space;A10.082.750
Connective Tissue;A10.165
Adipose Tissue;A10.165.114
Adipose Tissue, Beige;A10.165.114.161
Adipose Tissue, Brown;A10.165.114.322
Adipose Tissue, White;A10.165.114.830
Abdominal Fat;A10.165.114.830.500
Intra-Abdominal Fat;A10.165.114.830.500.500
Subcutaneous Fat, Abdominal;A10.165.114.830.500.750
Subcutaneous Fat;A10.165.114.830.750
Subcutaneous Fat, Abdominal;A10.165.114.830.750.500
Adventitia;A10.165.189
Bone and Bones;A10.165.265
Bone Matrix;A10.165.265.166
Bone-Implant Interface;A10.165.265.183
Bony Callus;A10.165.265.200
Cancellous Bone;A10.165.265.414
Cortical Bone;A10.165.265.521
Haversian System;A10.165.265.521.500
Periosteum;A10.165.265.746
Cartilage;A10.165.382
Elastic Cartilage;A10.165.382.300
Fibrocartilage;A10.165.382.350
Intervertebral Disc;A10.165.382.350.050
Annulus Fibrosus;A10.165.382.350.050.250
Nucleus Pulposus;A10.165.382.350.050.500
Meniscus;A10.165.382.350.163
Menisci, Tibial;A10.165.382.350.163.500
Palmar Plate;A10.165.382.350.200
Plantar Plate;A10.165.382.350.400
Triangular Fibrocartilage;A10.165.382.350.800
Hyaline Cartilage;A10.165.382.400
Elastic Tissue;A10.165.400
Fascia;A10.165.425
Fascia Lata;A10.165.425.500
Tenon Capsule;A10.165.425.750
Granulation Tissue;A10.165.450
Cicatrix;A10.165.450.300
Cicatrix, Hypertrophic;A10.165.450.300.125
Keloid;A10.165.450.300.425
Acne Keloid;A10.165.450.300.425.125
Interosseous Membrane;A10.165.560
Ligaments;A10.165.669
Broad Ligament;A10.165.669.170
Ligaments, Articular;A10.165.669.514
Anterior Cruciate Ligament;A10.165.669.514.100
Collateral Ligaments;A10.165.669.514.162
Collateral Ligament, Ulnar;A10.165.669.514.162.250
Lateral Ligament, Ankle;A10.165.669.514.162.500
Medial Collateral Ligament, Knee;A10.165.669.514.162.600
Ligamentum Flavum;A10.165.669.514.287
Longitudinal Ligaments;A10.165.669.514.350
Patellar Ligament;A10.165.669.514.475
Plantar Plate;A10.165.669.514.538
Posterior Cruciate Ligament;A10.165.669.514.600
Round Ligament of Femur;A10.165.669.514.800
Round Ligaments;A10.165.669.901
Round Ligament of Femur;A10.165.669.901.500
Round Ligament of Liver;A10.165.669.901.750
Round Ligament of Uterus;A10.165.669.901.875
Subcutaneous Tissue;A10.165.887
Wharton Jelly;A10.165.970
Epithelium;A10.272
Basement Membrane;A10.272.220
Bruch Membrane;A10.272.220.250
Endothelium;A10.272.491
Endothelium, Corneal;A10.272.491.318
Endothelium, Lymphatic;A10.272.491.332
Endothelium, Vascular;A10.272.491.355
Pericytes;A10.272.491.677
Epidermis;A10.272.497
Hair Follicle;A10.272.497.500
Epithelium, Corneal;A10.272.510
Pigment Epithelium of Eye;A10.272.640
Seminiferous Epithelium;A10.272.700
Urothelium;A10.272.850
Exocrine Glands;A10.336
Bartholin's Glands;A10.336.095
Bulbourethral Glands;A10.336.197
Lacrimal Apparatus;A10.336.422
Mammary Glands, Animal;A10.336.482
Mammary Glands, Human;A10.336.532
Pancreas, Exocrine;A10.336.645
Prostate;A10.336.707
Salivary Glands;A10.336.779
Parotid Gland;A10.336.779.464
Salivary Ducts;A10.336.779.640
Salivary Glands, Minor;A10.336.779.650
Sublingual Gland;A10.336.779.687
Submandibular Gland;A10.336.779.812
von Ebner Glands;A10.336.779.906
Sebaceous Glands;A10.336.827
Meibomian Glands;A10.336.827.600
Sweat Glands;A10.336.899
Apocrine Glands;A10.336.899.206
Eccrine Glands;A10.336.899.480
Lymphoid Tissue;A10.549
Adenoids;A10.549.100
Bursa of Fabricius;A10.549.175
Lymph Nodes;A10.549.400
Germinal Center;A10.549.400.500
Dendritic Cells, Follicular;A10.549.400.500.200
Sentinel Lymph Node;A10.549.400.750
Palatine Tonsil;A10.549.580
Peyer's Patches;A10.549.600
Spleen;A10.549.700
Tertiary Lymphoid Structures;A10.549.725
Thymus Gland;A10.549.750
Membranes;A10.615
Basement Membrane;A10.615.179
Basilar Membrane;A10.615.179.124
Bruch Membrane;A10.615.179.250
Descemet Membrane;A10.615.179.437
Glomerular Basement Membrane;A10.615.179.625
Extraembryonic Membranes;A10.615.284
Allantois;A10.615.284.147
Amnion;A10.615.284.277
Chorioallantoic Membrane;A10.615.284.375
Chorion;A10.615.284.473
Chorionic Villi;A10.615.284.473.200
Yolk Sac;A10.615.284.981
Mucous Membrane;A10.615.550
Esophageal Mucosa;A10.615.550.146
Gastric Mucosa;A10.615.550.291
Chief Cells, Gastric;A10.615.550.291.150
Enterochromaffin Cells;A10.615.550.291.162
Gastrin-Secreting Cells;A10.615.550.291.300
Parietal Cells, Gastric;A10.615.550.291.650
Somatostatin-Secreting Cells;A10.615.550.291.825
Hymen;A10.615.550.368
Intestinal Mucosa;A10.615.550.444
Enterocytes;A10.615.550.444.290
Goblet Cells;A10.615.550.444.321
Paneth Cells;A10.615.550.444.700
Mouth Mucosa;A10.615.550.599
Respiratory Mucosa;A10.615.550.760
Laryngeal Mucosa;A10.615.550.760.520
Goblet Cells;A10.615.550.760.520.320
Nasal Mucosa;A10.615.550.760.600
Goblet Cells;A10.615.550.760.600.320
Olfactory Mucosa;A10.615.550.760.600.640
Olfactory Receptor Neurons;A10.615.550.760.600.640.640
Serous Membrane;A10.615.789
Pericardium;A10.615.789.470
Pericardial Fluid;A10.615.789.470.500
Peritoneum;A10.615.789.596
Pleura;A10.615.789.736
Muscles;A10.690
Muscle, Smooth;A10.690.467
Muscle, Smooth, Vascular;A10.690.467.491
Myometrium;A10.690.467.500
Muscle, Striated;A10.690.552
Muscle, Skeletal;A10.690.552.500
Hamstring Muscles;A10.690.552.500.250
Muscle Fibers, Skeletal;A10.690.552.500.500
Muscle Fibers, Fast-Twitch;A10.690.552.500.500.600
Muscle Fibers, Slow-Twitch;A10.690.552.500.500.700
Sarcoplasmic Reticulum;A10.690.552.500.500.850
Muscle Spindles;A10.690.552.500.750
Myocardium;A10.690.552.750
Myoblasts, Cardiac;A10.690.552.750.500
Myocytes, Cardiac;A10.690.552.750.570
Myofibrils;A10.690.552.875
Sarcomeres;A10.690.552.875.700
Nerve Tissue;A10.755
Ependyma;A10.755.260
Myelin Sheath;A10.755.503
Neurilemma;A10.755.503.550
Ranvier's Nodes;A10.755.503.700
Organoids;A10.802
Parenchymal Tissue;A10.806
Peritoneal Stomata;A10.810
Margins of Excision;A10.830
Surgically-Created Structures;A10.850
Colonic Pouches;A10.850.200
Skeletal Muscle Ventricle;A10.850.700
Surgical Flaps;A10.850.710
Free Tissue Flaps;A10.850.710.500
Myocutaneous Flap;A10.850.710.625
Perforator Flap;A10.850.710.750
Surgical Stomas;A10.850.720
Urinary Reservoirs, Continent;A10.850.750
Cells;A11
Acinar Cells;A11.031
Allogeneic Cells;A11.047
Antibody-Producing Cells;A11.063
B-Lymphocytes;A11.063.438
B-Lymphocyte Subsets;A11.063.438.450
B-Lymphocytes, Regulatory;A11.063.438.450.300
Plasma Cells;A11.063.438.725
Antigen-Presenting Cells;A11.066
Dendritic Cells;A11.066.270
Langerhans Cells;A11.066.270.500
Dendritic Cells, Follicular;A11.066.275
Blood Cells;A11.118
Blood Platelets;A11.118.188
Erythrocytes;A11.118.290
Erythrocyte Membrane;A11.118.290.270
Erythrocytes, Abnormal;A11.118.290.330
Acanthocytes;A11.118.290.330.100
Erythrocyte Inclusions;A11.118.290.330.315
Heinz Bodies;A11.118.290.330.315.335
Megaloblasts;A11.118.290.330.531
Spherocytes;A11.118.290.330.802
Reticulocytes;A11.118.290.760
Hemocytes;A11.118.480
Leukocytes;A11.118.637
Granulocytes;A11.118.637.415
Basophils;A11.118.637.415.120
Eosinophils;A11.118.637.415.345
Neutrophils;A11.118.637.415.583
Leukocytes, Mononuclear;A11.118.637.555
Cytokine-Induced Killer Cells;A11.118.637.555.283
Killer Cells, Lymphokine-Activated;A11.118.637.555.283.500
Monocytes, Activated Killer;A11.118.637.555.283.750
T-Lymphocytes, Cytotoxic;A11.118.637.555.283.875
Lymphocytes;A11.118.637.555.567
Killer Cells, Natural;A11.118.637.555.567.537
Killer Cells, Lymphokine-Activated;A11.118.637.555.567.537.500
Lymphocyte Subsets;A11.118.637.555.567.550
B-Lymphocyte Subsets;A11.118.637.555.567.550.450
B-Lymphocytes, Regulatory;A11.118.637.555.567.550.450.300
T-Lymphocyte Subsets;A11.118.637.555.567.550.500
Intraepithelial Lymphocytes;A11.118.637.555.567.550.500.050
Mucosal-Associated Invariant T Cells;A11.118.637.555.567.550.500.100
T-Lymphocytes, Cytotoxic;A11.118.637.555.567.550.500.200
T-Lymphocytes, Helper-Inducer;A11.118.637.555.567.550.500.400
Th1 Cells;A11.118.637.555.567.550.500.400.900
Th2 Cells;A11.118.637.555.567.550.500.400.905
Th17 Cells;A11.118.637.555.567.550.500.400.915
T-Lymphocytes, Regulatory;A11.118.637.555.567.550.500.700
B-Lymphocytes;A11.118.637.555.567.562
B-Lymphocyte Subsets;A11.118.637.555.567.562.200
B-Lymphocytes, Regulatory;A11.118.637.555.567.562.200.300
Plasma Cells;A11.118.637.555.567.562.725
Precursor Cells, B-Lymphoid;A11.118.637.555.567.562.800
T-Lymphocytes;A11.118.637.555.567.569
CD4-Positive T-Lymphocytes;A11.118.637.555.567.569.200
T-Lymphocytes, Helper-Inducer;A11.118.637.555.567.569.200.400
Th1 Cells;A11.118.637.555.567.569.200.400.900
Th2 Cells;A11.118.637.555.567.569.200.400.905
Th17 Cells;A11.118.637.555.567.569.200.400.915
T-Lymphocytes, Regulatory;A11.118.637.555.567.569.200.700
CD8-Positive T-Lymphocytes;A11.118.637.555.567.569.220
T-Lymphocytes, Cytotoxic;A11.118.637.555.567.569.220.200
Natural Killer T-Cells;A11.118.637.555.567.569.290
Precursor Cells, T-Lymphoid;A11.118.637.555.567.569.360
Thymocytes;A11.118.637.555.567.569.360.800
T-Lymphocyte Subsets;A11.118.637.555.567.569.500
Intraepithelial Lymphocytes;A11.118.637.555.567.569.500.050
Mucosal-Associated Invariant T Cells;A11.118.637.555.567.569.500.100
T-Lymphocytes, Cytotoxic;A11.118.637.555.567.569.500.200
T-Lymphocytes, Helper-Inducer;A11.118.637.555.567.569.500.400
Th1 Cells;A11.118.637.555.567.569.500.400.900
Th2 Cells;A11.118.637.555.567.569.500.400.905
Th17 Cells;A11.118.637.555.567.569.500.400.915
T-Lymphocytes, Regulatory;A11.118.637.555.567.569.500.700
Lymphocytes, Null;A11.118.637.555.567.622
Lymphocytes, Tumor-Infiltrating;A11.118.637.555.567.650
Monocytes;A11.118.637.555.652
Monocytes, Activated Killer;A11.118.637.555.652.500
Bone Marrow Cells;A11.148
Endothelial Progenitor Cells;A11.148.174
Granulocytes;A11.148.350
Granulocyte Precursor Cells;A11.148.350.350
Hematopoietic Stem Cells;A11.148.378
Lymphoid Progenitor Cells;A11.148.378.294
Precursor Cells, B-Lymphoid;A11.148.378.294.374
Precursor Cells, T-Lymphoid;A11.148.378.294.750
Thymocytes;A11.148.378.294.750.800
Myeloid Progenitor Cells;A11.148.378.590
Granulocyte-Macrophage Progenitor Cells;A11.148.378.590.675
Granulocyte Precursor Cells;A11.148.378.590.675.500
Monocyte-Macrophage Precursor Cells;A11.148.378.590.675.750
Megakaryocyte-Erythroid Progenitor Cells;A11.148.378.590.837
Erythroid Precursor Cells;A11.148.378.590.837.250
Erythroblasts;A11.148.378.590.837.250.200
Megaloblasts;A11.148.378.590.837.250.200.500
Megakaryocyte Progenitor Cells;A11.148.378.590.837.625
Megakaryocytes;A11.148.479
Monocytes;A11.148.580
Monocyte-Macrophage Precursor Cells;A11.148.580.500
Reticulocytes;A11.148.790
Cells, Cultured;A11.251
Cell Line;A11.251.210
3T3 Cells;A11.251.210.100
BALB 3T3 Cells;A11.251.210.100.080
NIH 3T3 Cells;A11.251.210.100.550
Swiss 3T3 Cells;A11.251.210.100.775
3T3-L1 Cells;A11.251.210.100.775.800
Cell Line, Transformed;A11.251.210.172
COS Cells;A11.251.210.172.500
HEK293 Cells;A11.251.210.172.750
RAW 264.7 Cells;A11.251.210.172.875
Cell Line, Tumor;A11.251.210.190
A549 Cells;A11.251.210.190.080
Caco-2 Cells;A11.251.210.190.160
HCT116 Cells;A11.251.210.190.380
HeLa Cells;A11.251.210.190.400
KB Cells;A11.251.210.190.400.500
HL-60 Cells;A11.251.210.190.465
HT29 Cells;A11.251.210.190.475
Jurkat Cells;A11.251.210.190.495
K562 Cells;A11.251.210.190.510
MCF-7 Cells;A11.251.210.190.630
PC-3 Cells;A11.251.210.190.690
PC12 Cells;A11.251.210.190.750
THP-1 Cells;A11.251.210.190.815
U937 Cells;A11.251.210.190.880
CHO Cells;A11.251.210.200
L Cells;A11.251.210.505
LLC-PK1 Cells;A11.251.210.520
Madin Darby Canine Kidney Cells;A11.251.210.827
Sf9 Cells;A11.251.210.891
Vero Cells;A11.251.210.955
Clone Cells;A11.251.353
Hybridomas;A11.251.353.485
Cytokine-Induced Killer Cells;A11.251.476
Feeder Cells;A11.251.538
Hybrid Cells;A11.251.600
Hybridomas;A11.251.600.485
Spheroids, Cellular;A11.251.800
Tumor Cells, Cultured;A11.251.860
Cell Line, Tumor;A11.251.860.180
A549 Cells;A11.251.860.180.080
Caco-2 Cells;A11.251.860.180.160
HCT116 Cells;A11.251.860.180.380
HeLa Cells;A11.251.860.180.400
KB Cells;A11.251.860.180.400.500
Hep G2 Cells;A11.251.860.180.432
HL-60 Cells;A11.251.860.180.465
HT29 Cells;A11.251.860.180.475
Jurkat Cells;A11.251.860.180.495
K562 Cells;A11.251.860.180.510
PC12 Cells;A11.251.860.180.750
THP-1 Cells;A11.251.860.180.815
U937 Cells;A11.251.860.180.880
Embryonal Carcinoma Stem Cells;A11.251.860.590
Cells, Immobilized;A11.270
Cellular Structures;A11.284
Cell Body;A11.284.074
Cell Membrane;A11.284.149
Bacterial Outer Membrane;A11.284.149.083
Cell Membrane Structures;A11.284.149.165
Cell-Matrix Junctions;A11.284.149.165.165
Costameres;A11.284.149.165.165.142
Focal Adhesions;A11.284.149.165.165.285
Hemidesmosomes;A11.284.149.165.165.360
Coated Pits, Cell-Membrane;A11.284.149.165.175
Caveolae;A11.284.149.165.175.160
Glycocalyx;A11.284.149.165.355
Intercellular Junctions;A11.284.149.165.420
Adherens Junctions;A11.284.149.165.420.020
Desmosomes;A11.284.149.165.420.297
Gap Junctions;A11.284.149.165.420.471
Electrical Synapses;A11.284.149.165.420.471.180
Immunological Synapses;A11.284.149.165.420.548
Plasmodesmata;A11.284.149.165.420.625
Synapses;A11.284.149.165.420.780
Electrical Synapses;A11.284.149.165.420.780.180
Neuroeffector Junction;A11.284.149.165.420.780.550
Neuromuscular Junction;A11.284.149.165.420.780.550.550
Motor Endplate;A11.284.149.165.420.780.550.550.500
Presynaptic Terminals;A11.284.149.165.420.780.700
Synaptic Membranes;A11.284.149.165.420.780.800
Post-Synaptic Density;A11.284.149.165.420.780.800.500
Tight Junctions;A11.284.149.165.420.820
Membrane Microdomains;A11.284.149.165.570
Caveolae;A11.284.149.165.570.160
Myelin Sheath;A11.284.149.165.600
Nuclear Envelope;A11.284.149.165.630
Nuclear Lamina;A11.284.149.165.630.500
Phycobilisomes;A11.284.149.165.695
Ranvier's Nodes;A11.284.149.165.760
Erythrocyte Membrane;A11.284.149.356
Intracellular Membranes;A11.284.149.450
Mitochondrial Membranes;A11.284.149.450.349
Nuclear Envelope;A11.284.149.450.700
Purple Membrane;A11.284.149.648
Sarcolemma;A11.284.149.707
Synaptic Membranes;A11.284.149.844
Cell Surface Extensions;A11.284.180
Axons;A11.284.180.075
Axon Initial Segment;A11.284.180.075.125
Growth Cones;A11.284.180.075.249
Cellulosomes;A11.284.180.120
Cilia;A11.284.180.165
Dendrites;A11.284.180.225
Dendritic Spines;A11.284.180.225.169
Growth Cones;A11.284.180.225.340
Fimbriae, Bacterial;A11.284.180.285
Flagella;A11.284.180.290
Sperm Tail;A11.284.180.290.835
Microvilli;A11.284.180.565
Neurites;A11.284.180.610
Growth Cones;A11.284.180.610.345
Pili, Sex;A11.284.180.690
Podosomes;A11.284.180.695
Pseudopodia;A11.284.180.700
Stereocilia;A11.284.180.800
Telopodes;A11.284.180.900
Cell Wall;A11.284.183
Cell Wall Skeleton;A11.284.183.200
Chromosomes;A11.284.187
Chromosomes, Archaeal;A11.284.187.167
Chromosomes, Artificial;A11.284.187.178
Chromosomes, Artificial, Bacterial;A11.284.187.178.170
Chromosomes, Artificial, Mammalian;A11.284.187.178.190
Chromosomes, Artificial, Human;A11.284.187.178.190.117
Chromosomes, Artificial, P1 Bacteriophage;A11.284.187.178.195
Chromosomes, Artificial, Yeast;A11.284.187.178.200
Chromosomes, Bacterial;A11.284.187.190
Chromosomes, Artificial, Bacterial;A11.284.187.190.170
Chromosomes, Fungal;A11.284.187.360
Chromosomes, Artificial, Yeast;A11.284.187.360.800
Chromosomes, Insect;A11.284.187.440
Polytene Chromosomes;A11.284.187.440.500
Chromosomes, Mammalian;A11.284.187.520
